Date,Open,High,Low,Close,Adj Close,Volume
2020-08-25,21.975000,22.177500,21.852501,22.000000,21.977112,29602400
2020-08-26,22.027500,22.875000,21.990000,22.537500,22.514051,69261200
2020-08-27,22.605000,23.030001,22.605000,22.995001,22.971077,49194000
2020-08-28,23.125000,23.645000,22.975000,23.645000,23.620399,39536800
2020-08-31,23.627501,23.629999,23.090000,23.305000,23.280754,44806400
2020-09-01,23.549999,24.062500,23.417500,23.832500,23.807705,35228400
2020-09-02,23.975000,24.105000,23.250000,23.377501,23.353178,40830800
2020-09-03,23.452499,23.575001,21.799999,22.125000,22.101982,85120800
2020-09-04,22.362499,22.610001,20.867500,22.192499,22.169411,90277600
2020-09-08,21.762501,22.377501,21.375000,21.922501,21.899693,45290400
2020-09-09,22.257500,22.857500,22.257500,22.799999,22.776278,45762800
2020-09-10,22.844999,23.422501,21.750000,22.062500,22.039547,65936400
2020-09-11,22.340000,22.600000,21.780001,21.892500,21.869722,48137600
2020-09-14,22.299999,22.967501,22.250000,22.575001,22.551514,49884800
2020-09-15,22.852501,23.110001,22.270000,22.395000,22.371700,45557200
2020-09-16,22.455000,22.725000,22.157499,22.292500,22.269306,36979600
2020-09-17,22.147499,22.325001,21.665001,21.775000,21.752344,49546800
2020-09-18,21.900000,22.387501,21.510000,21.790001,21.767330,60468400
2020-09-21,21.307501,22.287500,21.082500,22.174999,22.151928,60979200
2020-09-22,22.400000,22.545000,21.875000,22.372499,22.349224,52746800
2020-09-23,22.372499,22.492500,21.552500,21.620001,21.597507,43341200
2020-09-24,21.725000,22.447500,21.424999,22.325001,22.301773,48450000
2020-09-25,22.102501,22.775000,21.875000,22.657499,22.633926,43119200
2020-09-28,22.900000,23.070000,21.754999,21.867500,21.844749,63056000
2020-09-29,21.885000,22.212500,21.639999,21.870001,21.847248,38303600
2020-09-30,22.027500,22.475000,21.809999,22.299999,22.276798,46979200
2020-10-01,22.334999,22.975000,22.302500,22.975000,22.951097,45613200
2020-10-02,22.762501,22.945000,21.900000,22.012501,21.989599,59527200
2020-10-05,22.245001,22.674999,22.065001,22.535000,22.511555,48107600
2020-10-06,22.750000,22.799999,22.215000,22.325001,22.301773,42778000
2020-10-07,22.424999,22.692499,22.225000,22.235001,22.211868,41633600
2020-10-08,22.450001,23.000000,22.275000,22.967501,22.943605,46569200
2020-10-09,22.975000,24.537500,22.900000,24.537500,24.511972,92367600
2020-10-13,24.882500,26.100000,24.875000,26.000000,25.972950,94711200
2020-10-14,26.500000,27.250000,25.040001,25.680000,25.653282,83598100
2020-10-15,25.020000,26.070000,25.000000,25.510000,25.483459,34750000
2020-10-16,25.760000,26.049999,25.160000,25.799999,25.773157,32673100
2020-10-19,26.110001,26.299999,25.350000,25.690001,25.663273,36433600
2020-10-20,25.799999,26.139999,25.650000,26.040001,26.012909,27788700
2020-10-21,26.000000,26.799999,25.959999,26.219999,26.192720,35433800
2020-10-22,26.350000,26.400000,26.000000,26.100000,26.072845,23097100
2020-10-23,26.100000,26.209999,25.650000,25.920000,25.893032,23943900
2020-10-26,25.799999,26.100000,25.110001,25.469999,25.443501,25781400
2020-10-27,25.530001,25.750000,25.120001,25.450001,25.423523,20697400
2020-10-28,24.799999,25.240000,24.400000,24.629999,24.604374,36016800
2020-10-29,24.400000,25.580000,23.879999,25.360001,25.333616,37853300
2020-10-30,25.150000,25.299999,24.160000,24.629999,24.604374,31118300
2020-11-03,25.280001,25.389999,24.750000,24.990000,24.964001,25250200
2020-11-04,25.400000,26.629999,25.370001,26.190001,26.162752,51188300
2020-11-05,26.879999,27.700001,26.740000,27.450001,27.421442,46382700
2020-11-06,27.000000,27.360001,26.510000,27.330000,27.301565,33294500
2020-11-09,28.150000,28.309999,26.350000,26.450001,26.422482,71761700
2020-11-10,26.010000,27.120001,25.180000,25.219999,25.193760,79060600
2020-11-11,25.400000,26.209999,25.280001,25.580000,25.553387,51171300
2020-11-12,25.530001,25.950001,24.910000,25.480000,25.453489,33819000
2020-11-13,25.760000,25.780001,24.860001,25.100000,25.073887,35563800
2020-11-16,25.299999,25.389999,24.270000,24.850000,24.824146,41356200
2020-11-17,24.750000,25.270000,24.530001,24.730000,24.704271,31907900
2020-11-18,24.700001,24.730000,24.070000,24.540001,24.514469,31523100
2020-11-19,24.530001,24.719999,23.820000,24.639999,24.614365,50040100
2020-11-23,24.299999,24.370001,23.219999,23.420000,23.395634,59639700
2020-11-24,23.370001,23.969999,22.900000,23.700001,23.675343,57465100
2020-11-25,23.670000,24.309999,23.520000,24.000000,23.975031,38914800
2020-11-26,23.900000,24.299999,23.820000,24.250000,24.224770,23108700
2020-11-27,24.320000,24.549999,23.920000,24.190001,24.164833,36125600
2020-11-30,24.200001,24.690001,23.219999,23.379999,23.355675,67110300
2020-12-01,23.650000,23.770000,22.600000,22.879999,22.856195,49280200
2020-12-02,22.879999,23.170000,22.750000,23.049999,23.026018,25575700
2020-12-03,23.080000,23.600000,22.930000,23.299999,23.275759,33183700
2020-12-04,23.420000,23.850000,23.170000,23.660000,23.635384,22737900
2020-12-07,23.660000,24.270000,23.430000,23.799999,23.775238,24571500
2020-12-08,23.730000,24.950001,23.610001,24.950001,24.924044,42095700
2020-12-09,24.950001,25.059999,23.809999,23.980000,23.955051,41174000
2020-12-10,24.100000,24.160000,23.170000,23.400000,23.375654,33674300
2020-12-11,23.090000,23.530001,22.719999,22.990000,22.966082,38144400
2020-12-14,23.000000,24.219999,22.870001,24.049999,24.024977,43300500
2020-12-15,24.049999,24.820000,23.639999,24.610001,24.584396,39496800
2020-12-16,24.500000,24.969999,24.170000,24.959999,24.934031,41309900
2020-12-17,24.860001,25.110001,24.360001,24.540001,24.514469,23427200
2020-12-18,24.480000,24.629999,24.100000,24.520000,24.494490,31019400
2020-12-21,23.930000,25.379999,23.610001,25.000000,24.973989,52188800
2020-12-22,25.290001,25.420000,24.850000,25.160000,25.133823,25236200
2020-12-23,25.250000,25.629999,24.969999,24.969999,24.944021,20558600
2020-12-28,24.780001,25.330000,24.400000,25.250000,25.223730,23099100
2020-12-29,25.230000,25.559999,25.020000,25.280001,25.253700,17789700
2020-12-30,25.370001,25.660000,24.950001,24.950001,24.950001,19188700
2021-01-04,25.260000,25.580000,24.870001,25.200001,25.200001,25706100
2021-01-05,25.100000,25.180000,24.340000,24.760000,24.760000,25431900
2021-01-06,24.650000,24.660000,23.420000,23.459999,23.459999,51799000
2021-01-07,23.639999,23.850000,22.950001,23.160000,23.160000,42146600
2021-01-08,23.190001,24.299999,23.020000,23.840000,23.840000,43988100
2021-01-11,23.500000,23.850000,23.330000,23.490000,23.490000,26648100
2021-01-12,23.600000,24.320000,23.250000,24.200001,24.200001,35040100
2021-01-13,24.200001,24.200001,23.549999,24.020000,24.020000,25610200
2021-01-14,24.150000,24.160000,23.500000,23.730000,23.730000,25548400
2021-01-15,23.730000,24.110001,23.350000,23.959999,23.959999,32761100
2021-01-18,24.049999,24.650000,23.910000,24.450001,24.450001,24257200
2021-01-19,24.540001,24.950001,23.820000,24.080000,24.080000,21025600
2021-01-20,24.180000,25.530001,24.120001,25.420000,25.420000,48089300
2021-01-21,25.400000,25.650000,24.850000,25.490000,25.490000,33038900
2021-01-22,25.129999,26.299999,25.100000,25.990000,25.990000,43004200
2021-01-26,26.250000,27.070000,25.670000,25.750000,25.750000,44474300
2021-01-27,25.719999,26.389999,25.350000,25.790001,25.790001,44942000
2021-01-28,25.870001,26.500000,25.389999,26.190001,26.190001,32819900
2021-01-29,25.740000,26.080000,25.030001,25.270000,25.270000,36141300
2021-02-01,25.680000,25.740000,24.750000,24.930000,24.930000,29267700
2021-02-02,25.299999,25.730000,25.200001,25.299999,25.299999,27563200
2021-02-03,25.440001,25.770000,25.040001,25.650000,25.650000,20963300
2021-02-04,25.639999,26.200001,25.160000,25.309999,25.309999,19706400
2021-02-05,25.379999,26.090000,25.379999,25.850000,25.850000,24918700
2021-02-08,25.850000,26.400000,25.520000,26.160000,26.160000,25773300
2021-02-09,26.160000,26.450001,25.900000,26.240000,26.240000,19348100
2021-02-10,26.100000,26.120001,25.110001,25.299999,25.299999,40037100
2021-02-11,25.299999,25.950001,25.299999,25.650000,25.650000,20569900
2021-02-12,25.520000,25.980000,25.350000,25.910000,25.910000,15132400
2021-02-17,null,null,null,null,null,null
2021-02-18,25.500000,25.590000,24.799999,25.040001,25.040001,22577800
2021-02-19,24.920000,25.389999,24.190001,24.940001,24.940001,38672200
2021-02-22,24.230000,24.520000,23.660000,24.250000,24.250000,41412400
2021-02-23,24.299999,25.080000,23.850000,24.860001,24.860001,43889700
2021-02-24,24.930000,25.100000,24.200001,24.639999,24.639999,37411000
2021-02-25,24.590000,25.020000,23.809999,24.049999,24.049999,57969900
2021-02-26,24.080000,24.959999,23.980000,24.180000,24.180000,45690100
2021-03-01,24.559999,25.000000,24.170000,24.549999,24.549999,22131200
2021-03-02,24.290001,24.600000,23.590000,24.270000,24.270000,35351400
2021-03-03,24.530001,25.280001,23.500000,25.120001,25.120001,47195300
2021-03-04,25.110001,25.700001,24.879999,25.440001,25.440001,40538300
2021-03-05,25.190001,25.340000,24.559999,25.129999,25.129999,45992500
2021-03-08,24.690001,24.770000,23.100000,23.100000,23.100000,82907400
2021-03-09,23.549999,23.969999,23.309999,23.389999,23.389999,73816700
2021-03-10,23.750000,25.090000,23.469999,24.900000,24.900000,41874800
2021-03-11,25.070000,25.080000,24.459999,24.799999,24.799999,30648100
2021-03-12,24.600000,24.900000,24.270000,24.570000,24.570000,24567300
2021-03-15,24.350000,24.760000,23.549999,23.719999,23.719999,77116200
2021-03-16,23.820000,24.389999,23.600000,24.150000,24.150000,38217700
2021-03-17,23.860001,24.049999,23.410000,23.940001,23.940001,37571800
2021-03-18,23.760000,23.850000,22.070000,22.280001,22.280001,54327100
2021-03-19,22.480000,22.650000,22.030001,22.290001,22.290001,63771900
2021-03-22,22.400000,22.730000,21.450001,21.910000,21.910000,46283500
2021-03-23,21.799999,22.030001,21.350000,21.510000,21.510000,30972400
2021-03-24,21.480000,21.510000,20.209999,20.370001,20.370001,59851100
2021-03-25,20.049999,20.969999,19.969999,20.299999,20.299999,49084600
2021-03-26,20.400000,20.700001,19.700001,19.980000,19.980000,50504800
2021-03-29,19.930000,20.049999,19.400000,19.650000,19.650000,41482100
2021-03-30,19.490000,20.320000,19.420000,20.059999,20.059999,36267200
2021-03-31,20.160000,20.459999,19.670000,20.240000,20.240000,36377800
2021-04-01,20.280001,21.020000,20.049999,20.440001,20.440001,43136300
2021-04-05,20.600000,20.730000,19.930000,20.420000,20.420000,27289400
2021-04-06,20.340000,20.719999,20.059999,20.600000,20.600000,26541200
2021-04-07,20.500000,20.530001,20.030001,20.180000,20.180000,25362800
2021-04-08,20.230000,21.900000,20.209999,21.850000,21.850000,56482000
2021-04-09,21.650000,22.020000,21.600000,21.670000,21.670000,35804300
2021-04-12,21.780001,21.930000,21.610001,21.650000,21.650000,20807400
2021-04-13,21.719999,22.290001,21.480000,22.200001,22.200001,29003400
2021-04-14,22.350000,22.350000,21.870001,22.120001,22.120001,24257100
2021-04-15,22.219999,22.520000,22.100000,22.200001,22.200001,18452800
2021-04-16,22.190001,22.250000,21.760000,21.920000,21.920000,19863700
2021-04-19,21.910000,22.150000,21.540001,21.650000,21.650000,22104000
2021-04-20,21.639999,21.799999,21.420000,21.600000,21.600000,20527200
2021-04-22,21.709999,21.850000,21.110001,21.150000,21.150000,22627800
2021-04-23,21.260000,21.730000,21.129999,21.730000,21.730000,25864500
2021-04-26,21.610001,21.809999,21.500000,21.709999,21.709999,19630100
2021-04-27,21.600000,21.650000,20.930000,20.950001,20.950001,15920900
2021-04-28,20.940001,21.100000,20.580000,20.650000,20.650000,28538900
2021-04-29,20.629999,20.670000,19.910000,20.260000,20.260000,34394600
2021-04-30,20.100000,20.389999,19.870001,20.030001,20.030001,29426800
2021-05-03,20.110001,20.250000,19.900000,20.180000,20.180000,17801100
2021-05-04,20.180000,20.230000,19.639999,19.750000,19.750000,19458300
2021-05-05,19.850000,20.090000,19.680000,19.900000,19.900000,15035400
2021-05-06,19.850000,19.950001,19.299999,19.459999,19.459999,27062800
2021-05-07,19.580000,19.900000,19.330000,19.889999,19.889999,23586600
2021-05-10,19.889999,19.980000,19.049999,19.200001,19.200001,22189400
2021-05-11,19.000000,19.389999,18.660000,19.320000,19.320000,26674800
2021-05-12,19.000000,19.150000,18.500000,18.590000,18.590000,21900200
2021-05-13,18.809999,19.250000,18.730000,19.129999,19.129999,19821800
2021-05-14,19.600000,19.740000,18.969999,19.150000,19.150000,27030400
2021-05-17,19.120001,19.219999,18.730000,18.860001,18.860001,15761200
2021-05-18,18.830000,19.410000,18.770000,18.969999,18.969999,18115000
2021-05-19,18.760000,19.120001,18.540001,18.680000,18.680000,16876700
2021-05-20,18.680000,18.879999,18.600000,18.740000,18.740000,11105100
2021-05-21,18.750000,18.780001,18.250000,18.530001,18.530001,22898700
2021-05-24,18.549999,20.059999,18.510000,20.000000,20.000000,43974700
2021-05-25,20.200001,20.660000,20.020000,20.020000,20.020000,33802700
2021-05-26,20.360001,20.389999,19.650000,19.670000,19.670000,19546100
2021-05-27,19.740000,19.840000,19.469999,19.590000,19.590000,22849600
2021-05-28,19.700001,20.420000,19.620001,20.250000,20.250000,19444100
2021-05-31,20.260000,20.400000,19.980000,20.160000,20.160000,12532200
2021-06-01,20.260000,20.650000,20.209999,20.350000,20.350000,17996900
2021-06-02,20.410000,21.260000,20.250000,20.500000,20.500000,27396500
2021-06-04,20.610001,21.049999,20.510000,20.850000,20.850000,17904800
2021-06-07,20.940001,20.990000,20.570000,20.799999,20.799999,13595500
2021-06-08,21.090000,21.430000,20.850000,21.049999,21.049999,35077700
2021-06-09,21.049999,21.090000,20.219999,20.270000,20.270000,26842000
2021-06-10,20.340000,20.389999,19.930000,20.280001,20.280001,15648300
2021-06-11,20.280001,20.480000,19.990000,20.379999,20.379999,11235600
